x,y
14,9
26,14
25,18
24,10
20,30
20,21
31,25
14,27
23,25
8,19
11,14
25,15
21,11
20,12
27,8
20,21
29,24
15,26
21,25
20,28
30,18
16,14
14,23
31,21
19,26
30,20
17,16
24,25
16,19
12,76
22,88
11,72
13,82
29,91
23,78
17,84
17,76
28,74
11,91
8,72
9,71
30,73
19,73
11,88
11,80
30,89
17,72
28,91
30,86
14,77
13,89
22,91
20,69
23,91
28,80
18,83
21,80
29,75
12,81
29,68
16,90
27,77
9,74
10,76
16,70
21,81
19,80
28,74
25,71
31,83
12,87
17,85
15,83
21,70
16,75
21,86
13,74
14,83
17,72
29,70
27,79
19,73
15,85
28,78
24,81
20,73
20,68
21,72
19,88
13,69
10,90
30,69
28,80
12,68
12,71
22,79
11,71
27,75
18,85
11,89
14,81
9,77
27,78
9,70
16,80
14,89
18,70
23,87
21,78
23,80
23,89
27,84
16,73
31,84
16,88
17,87
28,91
26,82
25,71
29,74
15,74
26,79
10,87
30,90
23,74
30,85
28,84
31,79
21,86
21,83
14,75
15,82
19,80
13,81
12,80
8,72
18,78
31,87
13,69
23,85
15,90
9,78
17,79
8,79
19,87
16,80
8,90
23,81
29,79
24,81
16,88
13,79
20,75
13,72
27,86
9,79
23,72
22,87
25,70
23,89
24,88
20,70
14,86
27,88
18,74
27,88
18,73
9,74
21,82
8,85
24,87
13,76
23,71
25,86
19,71
31,76
13,71
26,71
13,85
22,73
8,80
9,74
23,73
30,68
12,90
13,80
11,89
20,70
11,76
20,74
10,79
18,82
23,79
21,85
20,76
15,90
25,90
10,79
25,73
22,74
8,90
30,89
28,84
14,72
11,71
22,91
30,68
14,72
26,75
20,82
26,77
22,82
16,68
27,79
22,83
29,82
9,81
27,69
25,79
12,79
29,90
12,89
29,78
28,77
18,72
31,81
15,91
10,89
15,78
9,71
19,85
19,87
30,73
22,83
23,81
12,84
8,77
9,78
17,79
8,77
21,79
9,90
28,79
27,85
12,68
12,80
23,85
26,90
8,86
29,73
24,70
8,91
20,76
17,84
21,71
20,74
10,79
29,84
8,68
18,85
20,83
19,78
26,70
21,79
24,70
21,75
17,89
14,73
23,90
24,89
27,82
8,89
18,91
15,85
30,75
12,69
13,90
16,83
24,84
8,84
9,84
26,70
25,74
21,80
9,80
16,79
25,80
18,91
31,88
29,77
25,76
29,91
14,73
12,84
23,91
13,68
16,70
24,79
15,76
28,68
10,88
12,79
19,86
20,83
17,80
16,74
8,73
31,82
13,82
12,77
26,69
20,91
10,91
17,82
13,68
18,76
23,76
8,83
11,82
13,87
28,78
20,70
14,78
24,89
18,87
18,89
19,86
12,68
9,68
14,70
31,83
8,89
20,76
31,78
19,73
27,74
30,79
22,75
17,89
15,83
15,83
9,87
19,91
21,83
30,76
31,87
24,82
8,78
18,73
22,91
20,82
25,90
23,84
23,76
10,71
27,86
10,89
24,74
12,76
9,70
22,71
29,70
22,68
14,81
21,88
17,84
31,87
24,91
29,68
19,89
19,72
17,69
17,87
11,88
30,75
23,68
23,85
18,91
30,86
27,69
18,81
31,85
20,81
25,81
22,75
31,91
20,89
8,73
29,91
29,77
8,72
9,90
13,81
31,71
11,76
18,71
29,73
27,71
9,70
15,75
25,82
26,88
15,80
19,71
25,69
22,71
10,69
13,80
25,72
23,89
8,74
27,91
9,73
21,70
16,84
9,88
15,88
23,76
30,74
31,68
29,87
24,80
23,91
17,90
10,80
22,75
29,81
16,74
13,91
17,85
9,82
27,85
26,68
25,82
27,72
9,73
22,83
27,72
23,70
8,73
31,87
19,84
28,89
30,80
11,85
19,78
27,76
29,78
18,89
19,73
26,77
10,86
15,77
19,73
9,84
13,78
14,85
10,77
28,81
12,76
17,91
30,87
21,81
15,86
8,89
25,85
13,70
10,73
13,75
28,89
21,74
13,78
11,73
31,74
10,85
9,89
12,89
20,68
24,75
30,68
13,88
18,83
10,89
22,90
13,84
23,68
24,91
31,72
9,73
22,73
12,81
29,84
11,80
12,76
9,72
11,72
22,73
9,80
27,73
21,71
21,77
17,72
11,72
24,79
88,71
73,90
69,70
90,70
91,86
72,77
71,71
77,74
73,73
72,72
84,86
83,89
85,85
84,78
78,89
76,79
71,76
80,85
87,73
78,82
85,88
89,72
90,85
76,88
72,85
76,89
89,84
73,79
69,69
89,73
87,86
75,74
73,68
78,88
69,81
75,72
87,74
90,79
73,73
72,78
77,83
71,81
81,78
80,89
90,80
74,86
79,80
88,71
76,79
80,78
76,79
68,77
74,85
68,71
87,82
68,81
69,83
87,73
79,83
87,78
90,77
86,82
70,74
73,71
90,84
89,73
75,81
83,69
71,82
75,72
78,77
85,83
72,86
91,88
90,75
91,72
72,73
70,69
88,69
70,69
82,75
86,87
68,88
83,91
75,78
86,86
75,71
77,75
84,78
77,85
68,72
90,70
91,70
72,83
71,74
72,72
80,73
81,78
78,70
72,81
84,87
82,73
77,84
79,91
80,80
79,69
79,88
68,83
91,69
89,91
85,84
86,69
89,91
86,83
73,85
68,79
75,70
81,71
89,85
88,89
86,89
72,85
71,78
84,69
89,81
74,81
71,85
84,81
68,79
73,81
89,69
77,71
75,79
86,72
80,69
91,68
88,72
76,81
76,77
69,73
74,74
72,68
77,71
86,79
86,74
88,78
86,89
91,78
90,84
81,76
90,82
91,85
85,75
87,84
79,68
76,87
71,79
82,73
91,70
89,89
85,82
83,87
73,78
89,80
89,75
80,78
79,72
80,68
86,87
80,69
74,85
71,86
68,88
69,80
70,82
91,75
82,83
77,89
74,73
91,89
89,87
84,87
82,80
83,73
73,76
89,83
84,73
72,71
87,84
82,81
79,74
89,91
75,76
90,89
90,83
79,68
90,80
88,80
81,68
88,69
82,77
71,91
69,81
82,77
68,69
75,90
74,80
80,73
85,71
75,70
75,80
72,71
80,83
82,87
90,70
83,82
78,71
70,71
78,79
69,83
75,91
80,75
68,82
70,77
85,73
76,70
80,77
86,69
75,75
69,76
89,72
68,85
75,73
75,80
87,72
78,84
84,87
79,72
83,80
85,69
91,69
87,87
77,69
90,77
68,73
80,71
76,74
76,77
88,80
71,80
75,76
73,76
91,79
75,74
68,87
78,78
88,76
80,69
71,86
82,74
91,78
71,87
81,84
72,89
89,78
72,82
69,84
85,87
81,84
86,83
79,68
81,90
73,76
77,81
75,80
81,80
79,90
91,82
76,90
83,84
76,87
90,72
85,87
75,77
74,70
82,78
90,90
84,77
87,75
85,84
79,85
72,84
76,82
88,70
91,89
86,80
80,86
82,72
85,88
87,73
80,78
78,87
89,72
88,78
79,85
85,76
70,72
75,83
85,77
71,73
81,87
82,85
79,81
83,79
79,89
78,80
85,82
68,70
79,68
76,75
80,73
68,76
79,73
74,89
87,83
84,81
78,72
81,79
68,88
75,68
72,82
70,89
87,72
85,77
90,90
83,70
85,89
86,86
75,68
76,91
74,76
69,82
91,89
90,80
83,79
89,84
69,87
71,73
76,88
89,79
81,70
87,88
91,85
91,69
77,91
68,84
91,80
81,69
77,82
71,83
88,76
88,69
78,69
80,81
75,68
88,80
72,72
90,72
73,78
84,70
83,84
87,88
89,84
86,71
80,76
75,90
72,89
82,71
91,84
87,88
87,88
70,85
75,79
75,72
76,71
68,76
73,73
90,88
86,82
85,82
77,74
71,77
86,85
82,82
90,73
91,88
89,81
73,81
68,70
80,72
68,86
85,91
78,89
69,84
80,82
82,76
71,91
89,91
87,70
78,71
72,86
82,74
91,75
74,77
82,75
69,90
89,74
70,79
69,80
75,72
88,77
90,80
79,82
74,86
90,87
91,81
77,91
88,90
79,80
78,75
91,89
75,79
78,88
79,78
73,75
82,70
89,78
74,81
73,82
89,72
81,77
81,76
88,80
81,82
85,90
77,75
73,80
83,79
78,83
70,71
69,68
69,85
91,70
69,80
73,77
68,82
75,72
80,82
73,88
88,71
73,82
83,74
72,82
84,84
77,74
91,88
72,78
87,74
88,80
75,90
84,75
86,91
68,89
88,87
91,78
83,13
68,15
86,11
74,23
79,31
77,25
75,29
72,9
86,28
89,26
69,25
74,12
72,10
90,10
68,28
69,12
89,14
73,31
78,21
72,27
71,9
91,14
70,13
89,21
78,27
68,8
76,15
74,30
72,21
80,11
77,25
71,9
71,26
80,8
79,23
71,9
87,29
87,19
73,12
74,30
87,27
79,8
83,14
75,27
87,19
87,26
73,23
74,22
90,21
70,21
90,19
77,18
81,29
68,21
89,15
87,14
71,8
90,20
70,29
74,11
91,23
87,17
69,11
91,24
82,20
69,22
68,15
74,30
78,10
75,26
91,15
90,26
90,19
90,24
91,19
86,22
83,12
91,30
75,24
90,30
82,12
85,26
73,29
86,14
72,20
87,17
74,27
85,29
91,22
77,25
91,10
87,8
70,21
89,20
78,26
76,12
74,20
85,31
81,12
85,25
83,31
81,26
91,30
68,28
70,30
80,27
70,27
87,16
84,30
80,14
89,25
88,16
81,14
69,23
70,13
83,8
81,27
87,16
90,8
73,22
71,25
72,23
82,12
82,16
89,19
88,27
81,28
75,18
87,31
70,9
78,13
89,27
91,26
74,25
85,9
80,22
70,24
88,24
73,25
80,16
83,19
72,25
82,23
70,31
72,15
87,16
77,21
71,29
68,21
74,20
77,25
69,29
81,11
85,19
89,27
73,30
80,17
87,16
89,19
79,30
78,25
78,24
69,30
71,20
77,16
76,20
86,15
89,10
74,13
91,26
69,17
87,20
77,17
85,17
75,13
82,25
70,16
85,8
74,31
69,28
69,8
90,16
87,19
72,12
90,17
91,19
87,24
68,15
77,11
81,25
85,19
87,18
80,26
83,11
75,17
91,8
82,13
88,12
84,27
91,23
68,20
83,28
85,22
73,21
79,21
87,22
76,17
71,26
77,22
73,25
82,23
82,27
86,11
69,16
90,19
82,26
79,13
87,27
88,9
87,15
70,23
85,10
83,20
80,17
71,18
69,29
89,28
73,21
81,23
86,26
75,16
87,22
70,16
82,14
89,22
83,10
69,20
78,17
79,16
91,23
76,21
86,20
85,28
86,15
76,27
69,10
86,24
70,27
69,11
88,27
81,22
77,22
76,19
70,24
74,13
88,26
91,16
86,18
77,8
84,19
91,28
87,21
89,28
89,10
71,13
77,29
91,10
76,22
83,22
70,14
76,31
74,23
89,25
86,18
78,9
75,8
85,9
90,20
69,8
83,22
78,26
88,24
80,27
85,21
85,22
86,28
85,23
75,24
71,20
70,30
91,13
83,16
90,11
69,17
91,11
78,12
77,27
90,14
75,10
78,14
76,29
91,26
78,15
73,12
78,14
68,23
77,25
68,25
71,14
89,18
85,9
72,18
77,21
69,11
71,15
83,17
74,20
86,11
73,18
69,13
86,9
79,30
89,13
87,19
82,22
88,22
81,11
80,10
87,23
74,10
76,22
77,20
87,28
68,26
75,26
69,20
75,31
76,28
82,19
69,29
81,11
71,18
73,11
68,18
76,26
73,15
71,20
91,10
71,8
69,14
70,26
78,23
71,14
69,23
87,26
85,20
77,11
71,18
74,29
83,29
78,31
72,27
76,17
86,26
79,11
87,22
69,9
83,26
68,28
70,27
83,9
74,24
71,17
72,19
88,31
69,11
81,21
75,31
72,29
68,19
80,22
83,17
80,13
69,22
77,14
87,30
77,18
76,21
73,20
91,12
80,26
72,21
90,12
84,30
68,24
87,31
80,12
77,28
83,13
90,23
85,14
85,28
85,12
91,24
80,11
78,31
86,17
84,14
81,30
73,14
91,28
90,27
79,17
73,14
68,11
78,16
82,8
87,16
74,30
79,25
77,18
84,11
71,20
91,22
81,10
87,31
77,22
74,31
81,26
71,19
77,29
78,9
87,29
88,17
80,29
68,31
72,21
71,30
80,27
70,11
81,10
74,25
69,8
78,21
90,28
75,14
78,21
75,8
87,17
86,17
77,15
77,30
86,25
69,25
86,26
82,17
68,24
74,19
82,24
85,9
91,28
71,8
82,13
85,15
80,28
81,9
80,27
88,11
84,13
68,8
90,18
75,29
81,28
91,22
75,13
44,39
61,86
18,25
33,58
89,85
17,95
16,30
16,98
92,23
59,70
81,9
56,30
81,17
22,63
86,40
24,93
85,18
41,89
77,87
11,34
0,78
4,35
6,99
54,37
7,48
98,52
20,11
65,59
62,73
6,37
50,18
60,4
25,8
75,23
87,91
42,77
78,39
85,93
17,83
84,5
33,77
46,28
44,25
61,77
93,96
87,63
28,31
43,16
9,85
8,65
1,29
54,66
7,51
62,38
17,27
72,4
0,99
99,62
34,30
12,53
39,27
87,58
99,64
51,8
97,87
90,18
75,21
66,31
3,82
94,76
4,90
40,34
93,66
27,74
77,3
51,35
9,51
39,29
50,92
20,35
64,38
42,11
67,57
6,85
24,63
48,75
52,62
54,77
74,57
87,94
3,15
55,35
4,32
54,13
11,78
0,85
88,22
80,75
7,68
87,51
